adid,bkid
388,2819
834,2820
702,2823
688,2824
801,2827
602,2828
1125,2830
688,2831
1131,2833
1132,2833
315,2838
276,2843
510,2844
340,2846
362,2863
754,2873
670,2874
544,2879
289,2893
1134,2894
1133,2895
502,2904
155,2907
268,2915
803,2916
1139,2919
506,2920
533,2922
1139,2923
690,2924
153,2927
83,2933
290,2934
1140,2935
275,2938
65,2939
455,2943
712,2946
835,2947
803,2948
357,2958
322,2961
964,2968
438,2980
425,2994
167,2995
768,2996
391,3001
264,3009
51,3013
860,3017
551,3018
699,3021
184,3028
914,3029
153,3033
157,3034
501,3035
540,3036
551,3039
768,3040
857,3048
460,3049
286,3050
183,3051
1032,3052
621,3056
803,3058
554,1288
1079,1289
931,1291
354,1292
529,1293
782,1303
981,1304
240,1315
292,1321
138,1340
289,1344
794,1357
188,1362
473,1364
289,1366
295,1367
280,1368
798,1371
141,1374
93,1391
167,1512
280,1518
167,1533
1056,1570
89,1596
430,1634
1093,1660
437,1661
381,1665
122,1693
312,1743
610,1747
685,1751
688,1756
686,1806
689,1860
920,1863
1110,4592
782,1888
791,1922
912,1929
228,1944
165,1953
237,1959
102,1967
912,1989
314,1991
827,1995
581,1996
915,2016
269,2019
717,2037
803,2046
1037,2065
289,2094
690,2108
111,2122
283,2132
195,2176
1037,2181
159,2183
835,2195
106,2198
180,2202
679,2212
739,2218
168,2219
628,2233
159,2249
431,2259
178,2262
621,2265
1065,2274
288,2294
127,2299
166,2302
1074,2318
168,2326
145,2332
109,2390
810,2395
755,2414
578,2427
230,2445
778,2454
103,2481
671,2494
709,2495
143,2500
13,2503
602,2505
94,2513
111,2518
268,2533
389,2563
381,2578
487,2597
117,2599
117,2610
664,2623
117,2649
708,2663
834,2664
712,2689
394,2699
806,2719
1047,2754
859,2768
779,2774
13,2785
880,2796
689,2800
376,2832
259,2834
391,2861
490,2878
384,3901
929,2892
416,2898
66,2952
340,2987
848,2998
587,3003
78,3012
184,3019
188,3023
425,3054
502,3060
22,3063
65,3064
455,3065
490,3069
290,3070
1137,3071
963,3072
22,3073
1030,3075
774,3076
456,3079
154,3083
530,3084
508,3086
278,3091
183,3093
882,3095
548,3096
487,3098
390,3100
373,3102
802,3108
700,3113
762,3116
383,3117
718,3118
209,3119
790,3123
220,3127
711,3128
704,3130
212,3135
24,3137
810,3141
709,3143
707,3146
666,3149
264,3155
583,3161
501,3163
59,3165
542,3168
76,3169
542,3171
688,3172
720,3173
330,3174
47,3176
848,3181
553,3182
992,3187
291,3188
292,3191
954,3192
380,3193
134,3199
28,3201
884,3202
127,3203
879,3205
1035,1539
1092,1590
685,1598
752,1637
682,1673
566,1674
266,1686
1095,1689
665,1691
1096,1696
27,1723
764,1729
931,1730
134,1731
690,1732
153,1739
226,1744
33,1754
1007,1762
736,1767
779,1768
408,1770
416,1782
673,1787
368,1790
910,1796
689,1814
707,1816
704,1819
779,1823
668,1824
789,1825
389,1826
1018,1829
909,1844
884,1850
835,1864
1099,1881
433,1903
623,1912
774,1914
775,1918
159,1921
749,1923
133,1924
255,1954
588,1958
102,1990
796,2102
178,2149
229,2188
438,2237
188,2250
267,2311
543,2336
1039,2342
122,2351
144,2357
685,2367
682,2377
1119,2385
26,2399
94,2412
806,2473
22,2514
111,2531
290,2544
1039,2545
487,2576
253,2582
1126,2604
11,2634
689,2674
725,2678
1026,2698
75,2720
134,2730
235,2744
752,2761
415,2786
65,2797
406,2801
608,2822
71,2825
343,2835
289,2840
793,2842
994,2848
504,2867
587,2881
902,2882
552,2906
545,2910
57,2921
540,2950
424,2953
157,2956
1038,2966
185,2970
74,2978
312,2984
53,2988
981,2990
587,2997
190,2999
555,3006
1035,3008
19,3014
800,3016
729,3024
159,3046
458,3066
848,3067
623,3077
704,3106
685,3111
939,3115
94,3122
747,3139
773,3150
158,3160
524,3178
102,3206
117,3210
411,3211
127,3214
806,3215
722,3216
834,3217
386,3219
682,3223
608,3225
682,3228
665,3236
802,3238
763,3239
379,3240
602,3241
801,3242
707,3243
414,3244
722,3245
666,3246
331,3248
965,3250
1126,3251
110,3253
131,3254
96,3258
117,3259
46,3264
792,3270
174,3275
606,3276
937,3277
937,3279
802,3280
478,3285
174,3286
189,3289
184,3291
228,3292
839,3294
291,3295
721,3297
436,3298
768,3312
723,3313
174,3315
74,3334
532,3335
391,3337
391,3339
184,3342
178,3346
436,3349
291,3352
472,3353
745,3358
540,3362
67,3363
478,3365
799,3367
152,3369
155,3374
533,3377
552,3383
995,3387
451,1794
384,1835
259,1878
1176,5812
160,1891
733,1892
624,1926
96,1932
1073,1938
1082,1960
7,1968
177,1969
28,1981
1093,1982
806,1986
240,1992
111,1994
94,2003
894,2006
1007,2024
689,2038
672,2049
134,2059
155,2069
229,2073
98,2075
1011,2089
794,2099
453,5686
439,2115
180,2118
419,2129
435,2131
94,2140
572,2145
499,2151
354,2159
685,2163
764,2164
622,2170
160,2172
281,2175
179,2184
723,2187
153,2196
355,2200
880,2210
160,2215
104,2232
312,2238
319,2240
1074,2244
240,2246
1113,2260
302,2263
588,2264
98,2267
366,2272
160,2285
278,2323
491,2330
1117,2338
188,2340
513,2375
404,2388
536,2400
112,2422
1038,2426
531,2440
939,2447
835,2449
751,2456
665,2464
1017,2520
479,2539
606,2549
993,2572
940,2617
860,2640
591,2660
409,2673
390,2778
111,2809
376,2817
153,2849
786,2851
528,2871
551,2876
504,2880
498,2884
76,2885
187,2890
768,2914
561,2928
584,2959
327,2965
802,2975
157,2979
915,2981
839,2982
362,2985
46,3011
449,3022
52,3025
918,3041
917,3061
857,3074
270,3085
127,3089
231,3099
408,3124
382,3144
544,3156
460,3167
505,3170
154,3184
724,3195
617,3197
143,3200
906,3212
408,3226
706,3232
219,3233
357,3390
1024,3393
362,3394
623,3395
340,3401
168,3403
1083,3404
174,3407
1003,3408
304,3411
425,3412
902,3413
524,3416
1038,3417
1071,3418
555,3419
857,3421
552,3429
764,3430
1024,3431
303,3432
184,3435
425,3436
1133,3445
1104,3446
384,3451
168,3454
314,3466
504,3476
270,3478
556,3482
877,3483
168,3484
178,3503
188,3504
168,3507
873,3509
157,3514
153,3521
169,3522
177,3523
76,3524
543,3526
768,3529
680,3530
161,3532
423,3537
548,3538
931,3541
438,3543
161,3545
304,3549
1039,3551
1035,3552
268,3553
727,3556
153,3561
52,5232
168,3563
362,3565
456,3566
504,3569
155,3570
160,3572
583,3573
773,1972
704,1974
305,2101
499,2105
682,2127
11,2206
242,2255
587,2283
745,2312
786,2346
54,2360
29,2361
740,2365
127,2418
712,2444
106,2562
104,2564
407,2566
22,2567
695,2569
682,2575
389,2579
627,2581
669,2591
591,2601
389,2609
688,2614
723,2647
112,2650
136,2661
366,2666
678,2667
602,2676
610,2677
774,2685
794,2688
762,2695
690,2712
682,2740
230,2743
96,2748
328,2755
364,2767
226,2782
591,2803
195,2807
26,2811
679,2821
76,2826
153,2854
519,2903
180,2926
1032,2963
916,2991
279,3002
802,3005
291,3027
548,3032
46,3037
764,3038
796,3057
514,3087
289,3092
395,3112
707,3140
455,3166
719,3179
561,3185
110,3196
110,3207
388,3230
689,3247
1130,3249
835,3261
550,3331
1034,3385
779,3348
460,3350
992,3356
560,3368
918,3392
437,3405
435,3414
1035,3424
423,3442
